obat,kategori_demand,metode_terbaik,WAPE_test,parameter,ABC,VEN,AMC,safety_stock,Min,Max,stok_terkini,status,perlu_pesan,skor,kritis
SANMOL FORTE SIRUP,intermittent,-,,-,C,E,2.0,3,5,9,3.0,DI BAWAH MIN,6.0,3,True
Sanadryl DMP 120 ML,intermittent,-,,-,C,E,2.1,6,9,13,7.0,DI BAWAH MIN,6.0,3,True
DOMPERIDONE SIRUP,intermittent,-,,-,C,E,1.3,3,4,7,2.0,DI BAWAH MIN,5.0,3,True
ERLAMICETIN TETES MATA,intermittent,SBA,100.0,"az=0.05,ap=0.2",C,E,1.7,3,5,8,3.0,DI BAWAH MIN,5.0,3,True
ERLAMICETIN TETES TELINGA,intermittent,SBA,100.0,"az=0.95,ap=0.55",C,E,1.5,2,4,6,1.0,DI BAWAH MIN,5.0,3,True
BIOLYSIN KIDS TAB KUNYAH,data tidak cukup,aturan stok,,-,C,E,0.4,2,2,3,1.0,DI BAWAH MIN,2.0,3,True
PARACETAMOL INFUS,intermittent,-,,-,C,E,0.2,1,1,2,1.0,DI BAWAH MIN,1.0,3,True
HOT IN DCL SALEP 30 gr,data tidak cukup,aturan stok,,-,C,E,0.0,0,0,0,0.0,DI BAWAH MIN,0.0,3,True
SILADEX BIRU SIRUP,data tidak cukup,aturan stok,,-,C,E,0.2,1,2,2,2.0,DI BAWAH MIN,0.0,3,True
GENTAMICYN SALEP,smooth,SES,,alpha=0.3,C,N,18.8,19,38,64,6.0,DI BAWAH MIN,58.0,2,True
KASA STERIL,lumpy,-,,-,C,N,13.0,48,61,93,44.0,DI BAWAH MIN,49.0,2,True
ACYCLOVIR TABLET,intermittent,Croston,100.0,"az=0.35,ap=0.3",A,V,226.3,350,576,947,1404.0,aman,0.0,6,False
CTM TABLET,lumpy,-,,-,A,V,216.7,722,939,1455,1600.0,aman,0.0,6,False
METRONIDAZOLE 500MG TABLET,smooth,SES,456.14963123761345,alpha=0.99,A,V,114.2,142,256,429,340.0,aman,0.0,6,False
ACETYLCYSTEIN KAP,smooth,SES,88.10762525212283,alpha=0.85,A,E,629.5,491,1121,1954,1170.0,aman,0.0,5,False
AMLODIPINE 10 MG TABLET,smooth,SES,23.809555733482824,alpha=0.05,B,V,45.8,40,85,147,477.0,aman,0.0,5,False
AMLODIPINE 5 MG,smooth,SES,17.87065228819292,alpha=0.28,B,V,90.5,33,123,227,325.0,aman,0.0,5,False
ASAM MEFENAMAT 500 MG TABLET,erratic,SES,25.91814154286799,alpha=0.44,A,E,277.5,495,773,1255,960.0,aman,0.0,5,False
