obat,kategori_demand,metode_terbaik,WAPE_test,metode_cv,WAPE_test_cv,delta
PECTORIN EXP SIRUP,data tidak cukup,aturan stok,,aturan stok,,
PLANTACYD SIRUP,lumpy,-,,-,,
POLYSILANE 100ML,data tidak cukup,aturan stok,,aturan stok,,
POLYSILANE TABLET,lumpy,-,,-,,
PROMAVIT TABLET,data tidak cukup,aturan stok,,aturan stok,,
PROME SIRUP,lumpy,-,,-,,
PROMEDEX TAB,lumpy,SBA,100.5,SBA,170.3,69.8
PULMICORT NEBULIZER,intermittent,-,,-,,
RANIGEN (RANITIDIN) TABLET,data tidak cukup,aturan stok,,aturan stok,,
RANITIDINE INJEKSI,data tidak cukup,aturan stok,,aturan stok,,
RANITIDINE TABLET,smooth,SES,81.9,SES,82.3,0.4
RHINOS TABLET,data tidak cukup,aturan stok,,aturan stok,,
SALBUTAMOL 2 MG TABLET,lumpy,Croston,159.7,Croston,100.0,-59.7
SANGOBION KAPSUL,erratic,SES,22.6,SES,28.1,5.5
SANMOL FORTE SIRUP,intermittent,-,,-,,
SANMOL SIRUP,data tidak cukup,aturan stok,,aturan stok,,
SCABICID (PERMEHETRIN 5%) CREAM 10G,intermittent,-,,-,,
SCABIMITE SALEB 10G,data tidak cukup,aturan stok,,aturan stok,,
SCABIMITE SALEB 30G,data tidak cukup,aturan stok,,aturan stok,,
SCOPMA PLUS (HYOSCINE + PARASETAMOL) TABLET,erratic,SES,94.4,SES,104.8,10.4
SCOPMA TAB (HYOSCINE BUTYLBROMIDE),data tidak cukup,aturan stok,,aturan stok,,
SELCOM C TABLET,lumpy,-,,-,,
SILADEX BIRU SIRUP,data tidak cukup,aturan stok,,aturan stok,,
SIMVASTATIN 10 MG TABLET,data tidak cukup,aturan stok,,aturan stok,,
SIMVASTATIN 20 MG TABLET,intermittent,Croston,100.0,Croston,100.0,0.0
STIK ASAM URAT,intermittent,SBA,94.5,Croston,98.3,3.8
STIK CHOLESTROL,intermittent,SBA,94.5,Croston,98.3,3.8
SUCRALFATE SIRUP,lumpy,-,,-,,
Sanadryl DMP 120 ML,intermittent,-,,-,,
Sanadryl Ekspektoran 120 ml,data tidak cukup,aturan stok,,aturan stok,,
TEMPRA SIRUP,data tidak cukup,aturan stok,,aturan stok,,
THROMBOPOP Gel,data tidak cukup,aturan stok,,aturan stok,,
TIFALSIC (PARASETAMOL + IBUPROFEN) TABLET,intermittent,-,,-,,
TRANSAMIN (ASAM TRANEXAMAT 500MG) TABLET,erratic,SES,157.5,SES,152.3,-5.2
TREMENZA TAB,data tidak cukup,aturan stok,,aturan stok,,
TRIANTA TABLET,lumpy,-,,-,,
TUSELIX (TRIPROLIDIN =~ PSEUDOEFEDRIN) TAB,data tidak cukup,aturan stok,,aturan stok,,
ULTRAFIX,data tidak cukup,aturan stok,,aturan stok,,
URINTER TABLET,intermittent,Croston,40.0,Croston,40.6,0.6
VENTOLIN NEBULLIZER,intermittent,-,,-,,
VENTOLIN SIRUP,data tidak cukup,aturan stok,,aturan stok,,
"Verban elastis 10cm x 4,5m",intermittent,SBA,193.8,Croston,393.9,200.1
"Verban elastis 15cm x 4,5m",intermittent,-,,-,,
"Verban elastis 7,5cm x 4,5m",lumpy,-,,-,,
WOODS ANTITUSIVE SIRUP 100ML,lumpy,SBA,1000.2,SBA,393.9,-606.3
WOODS EKSPEKTORAN SIRUP 100ML,smooth,SES,140.5,SES,130.4,-10.1
ZEGAVIT TABLET,intermittent,-,,-,,
ZINK TABLET,lumpy,-,,-,,
superhoid Supp,data tidak cukup,aturan stok,,aturan stok,,
